TransactionID,BorrowDate,DueDate,ReturnDate,TransactionStatus,OverdueFlag,LoanDurationDays,DaysOverdue,MemberID,Age,AgeGroup,Gender,MembershipType,City,BookTitle,Author,Category,PublishedYear,BookPriceNPR,FineAmountNPR,BorrowYear
T000001,2024-08-29,2024-09-11,,Borrowed,On Time,,,M01092,43,36-50,Male,Public,Kathmandu,Advanced Data Science Handbook,Julia Johnson,Business,2018,1525,0,2024
T000002,2024-05-03,2024-05-26,,Borrowed,On Time,,,M00359,16,Under 18,Male,Faculty,Pokhara,Complete Business Guide,Stephen Franklin,Psychology,2010,1775,0,2024
T000003,2024-01-19,2024-02-09,,Borrowed,On Time,,,M01954,66,65+,Female,Researcher,Pokhara,Essential Networking Techniques,Mark Smith,Self Help,2024,1550,0,2024
T000004,2025-11-04,2025-11-13,,Borrowed,On Time,,,M01992,53,51-65,Male,Public,Biratnagar,Advanced Data Science Techniques,Aaron Jimenez,History,2013,1025,0,2025
T000005,2024-04-21,2024-05-06,,Borrowed,On Time,,,M01588,22,18-25,Female,Student,Kathmandu,Practical Self Help Guide,Cynthia Small,Networking,2015,1200,0,2024
T000006,2024-11-18,2024-12-04,2024-12-02,Returned,On Time,14.0,0.0,M00728,78,65+,Male,Student,Kathmandu,Complete Cyber Security Guide,John Allen Jr.,Business,2012,1300,0,2024
T000007,2024-11-15,2024-11-23,2024-11-23,Returned,On Time,8.0,0.0,M01722,40,36-50,Female,Public,Kathmandu,Advanced History Guide,Mark Hernandez,Self Help,2008,2050,0,2024
T000008,2025-11-16,2025-12-01,,Borrowed,On Time,,,M00120,65,51-65,Male,Student,Biratnagar,Essential Machine Learning Concepts,James Herman,Data Science,2019,350,0,2025
T000009,2025-12-23,2026-01-05,2026-01-03,Returned,On Time,11.0,0.0,M00963,65,51-65,Female,Public,Pokhara,Practical Self Help Handbook,Sara Terry,Business,2020,1100,0,2025
T000010,2024-05-20,2024-06-09,2024-06-07,Returned,On Time,18.0,0.0,M01771,74,65+,Female,Faculty,Pokhara,Advanced Marketing Concepts,Mark Rivers,Fiction,2022,975,0,2024
T000011,2025-10-22,2025-10-31,2025-10-30,Returned,On Time,8.0,0.0,M00430,22,18-25,Male,Public,Kathmandu,Essential Business Handbook,Carrie Perry,Data Science,2018,875,0,2025
T000012,2024-10-22,2024-11-08,2024-11-11,Returned,Overdue,20.0,3.0,M00796,33,26-35,Female,Student,Biratnagar,Practical Marketing Guide,Amanda Cruz,Fiction,2025,1475,30,2024
T000013,2025-01-01,2025-01-12,,Borrowed,On Time,,,M00116,51,51-65,Male,Public,Pokhara,Modern Networking Applications,Michael Castro,Psychology,2008,2275,0,2025
T000014,2025-10-30,2025-11-21,2025-11-20,Returned,On Time,21.0,0.0,M01478,24,18-25,Male,Faculty,Kathmandu,Modern Fiction Techniques,Andrea Everett,Self Help,2014,2100,0,2025
T000015,2024-09-30,2024-10-13,,Borrowed,On Time,,,M01538,48,36-50,Female,Student,Biratnagar,Practical Psychology Guide,Mark Blevins,Cloud Computing,2024,2100,0,2024
T000016,2025-01-28,2025-02-06,,Borrowed,On Time,,,M01223,27,26-35,Male,Public,Pokhara,Complete Data Science Concepts,Sarah Blair,Business,2019,850,0,2025
T000017,2025-12-03,2025-12-12,2025-12-13,Returned,Overdue,10.0,1.0,M00747,17,Under 18,Female,Public,Pokhara,Modern Marketing Techniques,Joel Harrison,Marketing,2009,1325,10,2025
T000018,2025-08-06,2025-08-22,2025-08-20,Returned,On Time,14.0,0.0,M01899,29,26-35,Male,Student,Kathmandu,Complete Fiction Handbook,Julie Duncan,Computer Science,2016,925,0,2025
T000019,2025-11-16,2025-12-01,2025-11-30,Returned,On Time,14.0,0.0,M00675,22,18-25,Male,Student,Kathmandu,Essential Fiction Handbook,Ariel Campbell,Machine Learning,2023,2200,0,2025
T000020,2024-02-20,2024-03-05,2024-03-05,Returned,On Time,14.0,0.0,M01145,20,18-25,Female,Student,Kathmandu,Complete Finance Guide,Kurt Gay,Business,2021,1975,0,2024
T000021,2024-06-03,2024-06-23,,Borrowed,On Time,,,M00552,37,36-50,Female,Faculty,Biratnagar,Modern Marketing Guide,Sandra Rogers,Cloud Computing,2008,325,0,2024
T000022,2024-01-08,2024-01-30,2024-01-29,Returned,On Time,21.0,0.0,M01194,22,18-25,Male,Faculty,Kathmandu,Practical Marketing Handbook,Terry Foster,Psychology,2008,1950,0,2024
T000023,2024-08-20,2024-09-10,2024-09-08,Returned,On Time,19.0,0.0,M01781,25,18-25,Male,Researcher,Kathmandu,Complete Computer Science Guide,Randy Saunders,Self Help,2012,1350,0,2024
T000024,2024-01-23,2024-02-02,2024-02-07,Returned,Overdue,15.0,5.0,M00072,42,36-50,Male,Public,Kathmandu,Modern Business Techniques,Joseph Olson,History,2011,1425,50,2024
T000025,2025-03-24,2025-04-02,2025-03-31,Returned,On Time,7.0,0.0,M00737,21,18-25,Female,Public,Kathmandu,Modern Economics Guide,Erin Davis,Economics,2009,525,0,2025
T000026,2025-12-10,2025-12-18,2025-12-17,Returned,On Time,7.0,0.0,M00231,69,65+,Female,Public,Kathmandu,Advanced Computer Science Concepts,Sean Wade Jr.,Marketing,2014,2100,0,2025
